t,event,task,x,y,scheduled_start,actual_start,schedule_deviation,note,phi1_bool,phi1_rob,phi2_bool,phi2_rob,phi3_bool,phi3_rob,phi_all_bool,phi_all_rob,speed,vmax
75.002,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 31.07s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
76.025,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 32.09s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
77.061,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 33.12s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
78.083,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 34.15s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
79.117,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 35.18s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
80.150,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 36.21s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
81.168,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 37.23s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
82.178,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 38.24s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
83.193,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 39.26s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
84.215,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 40.28s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
85.240,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 41.30s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
